university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立彰化師範大學,輔導諮商系校輔事務組(公費),100,1.75,1.5,NULL,1.5,NULL,NULL,NULL,NULL,NULL,1,97.0696,96.3155
國立臺灣師範大學,國文學系(公費),100,2,1.5,NULL,NULL,NULL,NULL,NULL,NULL,1,1,86.54,92.9337
國立臺中教育大學,英語學系(公費)-臺中市,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,84.78,89.9318
國立臺灣大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,89.4,89.9172
國立臺灣大學,財務金融學系,100,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,91.1889,89.4838
國立新竹教育大學,音樂學系(公費),100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,84.145,89.2588
國立陽明大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,88.4833,89.1292
國立臺中教育大學,英語學系(公費)-南投縣,100,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,84.028,89.1201
國立嘉義大學,教育學系(公費)社會學習領域,100,2,1.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.75,82.956,88.9381
國立臺灣大學,法律學系財經法學組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,85.1833,88.8874
國立成功大學,醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,87.75,88.5013
國立臺灣大學,國際企業學系,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.6571,88.1733
國立臺灣大學,牙醫學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,87.3167,88.1635
國立臺灣大學,工商管理學系企管組英文專班,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.2857,87.764
國立臺灣大學,工商管理學系企業管理組,100,1,2,NULL,2,NULL,NULL,NULL,NULL,1,1,86.2286,87.7011
國立臺灣大學,經濟學系,100,1.5,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,87.83,87.6868
國立臺灣大學,電機工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.62,87.5564
國立臺灣大學,物理學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.6,87.5374
國立臺灣大學,法律學系法學組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,83.75,87.4701
國立臺中教育大學,音樂學系(公費),100,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,82.425,87.3838
國立臺灣大學,材料科學與工程學系,100,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,86.14,87.1013
國立臺灣大學,法律學系司法組,100,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,83.25,87.0882
國立臺灣大學,會計學系,100,1.25,2,NULL,1.25,NULL,NULL,NULL,NULL,1,1,84.0923,87.0439
