biology,cume,0
100,0,98.9999
99,0,98.9999
98,0,98.9999
97,0,98.9999
96,0,98.9999
95,0.01,99
94,0.05,96.9997
93,0.18,94.9991
92,0.3,93.9983
91,0.43,93.9997
90,0.66,92.9991
89,1.01,91.9989
88,1.51,90.9996
87,2.04,89.9997
86,2.67,88.9998
85,3.52,86.9934
84,4.37,85.9934
83,5.37,84.9943
82,6.36,83.9951
81,7.51,82.9959
80,8.72,81.9981
79,10.07,79.9848
78,11.38,78.9864
77,12.96,77.9927
76,14.36,76.9943
75,15.84,75.9979
74,17.38,73.978
73,19.05,72.9837
72,20.67,71.9878
71,22.25,70.9929
70,23.96,69.9994
69,25.75,67.9739
68,27.49,66.9806
67,29.2,65.9888
66,30.91,64.9983
65,32.61,62.9592
64,34.31,61.9646
63,36.05,60.9763
62,37.74,59.9825
61,39.53,58.9956
60,41.19,56.9155
59,42.88,55.9147
58,44.5,54.91
57,46.3,53.9442
56,48.09,52.9793
55,49.94,49.6591
54,51.84,50.4362
53,53.71,49.0512
52,55.53,47.1433
51,57.34,46.0858
50,59.04,45.0544
49,61.02,44.0093
48,62.93,42.0514
47,64.84,41.0231
46,66.69,40
45,68.49,38.0296
44,70.31,37.0131
43,72.02,36.0026
42,73.86,34.0219
41,75.43,33.0147
40,77.31,32.0009
39,78.91,30.0206
38,80.54,29.0129
37,82.01,28.0088
36,83.44,27.0052
35,84.78,26.0035
34,86.29,24.0194
33,87.62,23.0167
32,88.78,22.0179
31,89.9,22.0012
30,91.01,21.0036
29,92.01,20.0059
28,92.93,19.0095
27,93.87,18.0114
26,94.64,18.0012
25,95.36,17.006
24,96.14,16.0081
23,96.76,16.0004
22,97.36,15.0027
21,97.79,14.0059
20,98.17,14.0013
19,98.56,13.0028
18,98.89,12.0036
17,99.17,12.0003
16,99.38,11.0014
15,99.59,10.001
14,99.75,9.00078
13,99.82,9
12,99.89,8.00011
11,99.94,7.00022
10,99.96,7
9,99.98,6
8,99.99,5
7,100,2
6,100,2
5,100,2
4,100,2
3,100,2
2,100,2
1,100,2
0,100,2
chemistry,cume,0
100,0,100
99,0,100
98,0.02,98.5
97,0.02,98.5
96,0.04,97.8
95,0.1,96.7143
94,0.2,95.5833
93,0.31,94.7895
92,0.46,94
91,0.67,93.25
90,0.96,92.4054
89,1.32,91.5227
88,1.71,90.6923
87,2.19,89.8064
86,2.73,88.9385
85,3.39,87.9315
84,4.17,86.881
83,4.93,85.9783
82,5.81,85.0217
81,6.69,84.0549
80,7.52,83.2778
79,8.4,82.4423
78,9.29,81.6055
77,10.4,80.6186
76,11.56,79.6325
75,12.75,78.6053
74,14.07,77.5078
73,15.25,76.576
72,16.51,75.5909
71,17.9,74.5414
70,19.24,73.5267
69,20.59,72.5182
68,22.28,71.2462
67,23.83,70.1151
66,25.4,69.007
65,27.03,67.8723
64,28.56,66.7794
63,30.2,65.5704
62,31.82,64.4178
61,33.55,63.2057
60,35.37,61.9412
59,36.95,60.7987
58,38.75,59.5878
57,40.52,58.3617
56,42.45,57.034
55,44.38,55.7329
54,46.16,54.458
53,47.85,53.2483
52,49.63,52.0274
51,51.38,50.8102
50,53.2,49.5
49,54.97,48.2587
48,56.78,47.0069
47,58.5,45.8716
46,60.28,44.6449
45,61.95,43.4658
44,63.61,42.2899
43,65.3,41.0584
42,67.11,39.6889
41,68.84,38.4074
40,70.61,37.0963
39,72.47,35.7252
38,74.34,34.2977
37,76.07,32.9846
36,77.8,31.6457
35,79.49,30.3308
34,81.14,29.0469
33,82.82,27.728
32,84.33,26.52
31,85.92,25.2167
30,87.48,24.0151
29,88.86,22.875
28,90.18,21.8438
27,91.38,20.8974
26,92.43,20
25,93.27,19.3
24,94.16,18.5182
23,94.98,17.7727
22,95.72,17.1
21,96.41,16.3958
20,97.07,15.6456
19,97.56,15.0253
18,97.99,14.4143
17,98.36,13.8462
16,98.7,13.1923
15,98.94,12.65
14,99.23,11.9
13,99.42,11.2667
12,99.56,10.6667
11,99.7,9.85717
10,99.83,8.87498
9,99.89,8.12502
8,99.93,7.5
7,99.97,6.5
6,99.98,6
5,99.99,5
4,99.99,5
3,99.99,5
2,99.99,5
1,100,2
0,100,2
chinese,cume,0
100,0,100
99,0,100
98,0,100
97,0,100
96,0,100
95,0,100
94,0,100
93,0,100
92,0.01,99
91,0.01,99
90,0.02,98.5
89,0.03,98
88,0.05,97.6
87,0.09,96.8571
86,0.14,96.1429
85,0.24,95.25
84,0.36,94.5263
83,0.53,93.75
82,0.76,92.9459
81,1.1,92.027
80,1.57,90.9615
79,2.16,89.8548
78,2.91,88.6615
77,3.83,87.3288
76,4.93,85.9783
75,6.21,84.5824
74,7.71,83.1019
73,9.38,81.5229
72,11.33,79.8291
71,13.56,77.9062
70,15.89,76.064
69,18.54,74.0602
68,21.37,71.9462
67,24.4,69.7113
66,27.44,67.5816
65,30.73,65.1778
64,33.94,62.931
63,37.32,60.5503
62,40.67,58.2553
61,43.97,56.0134
60,47.35,53.5931
59,50.71,51.2828
58,53.88,49.0211
57,56.98,46.875
56,59.92,44.9058
55,62.79,42.8841
54,65.72,40.7405
53,68.43,38.7111
52,71.03,36.7883
51,73.4,35.0153
50,75.7,33.2652
49,77.85,31.6063
48,79.86,30.0462
47,81.7,28.6094
46,83.42,27.248
45,85.01,25.975
44,86.5,24.7576
43,87.77,23.775
42,88.98,22.7812
41,90.07,21.9297
40,91.18,21.0625
39,92.13,20.2564
38,93.01,19.5167
37,93.71,18.9273
36,94.41,18.2909
35,95.04,17.7182
34,95.65,17.1636
33,96.17,16.6458
32,96.61,16.1875
31,97.03,15.6962
30,97.42,15.2025
29,97.76,14.7429
28,98.05,14.3286
27,98.31,13.9423
26,98.54,13.5
25,98.72,13.1538
24,98.91,12.725
23,99.08,12.3
22,99.23,11.9
21,99.34,11.5333
20,99.45,11.1667
19,99.54,10.7778
18,99.62,10.3333
17,99.69,9.92856
16,99.74,9.57144
15,99.77,9.35717
14,99.82,9
13,99.85,8.62502
12,99.89,8.12502
11,99.91,7.83329
10,99.94,7.33329
9,99.96,7
8,99.97,6.5
7,99.99,5
6,99.99,5
5,100,2
4,100,2
3,100,2
2,100,2
1,100,2
0,100,2
geography,cume,0
100,0,100
99,0,100
98,0,100
97,0,100
96,0,100
95,0,100
94,0,100
93,0,100
92,0,100
91,0,100
90,0.01,99
89,0.02,98.5
88,0.06,97.4
87,0.07,97.2
86,0.19,95.6667
85,0.24,95.25
84,0.46,94
83,0.54,93.7143
82,0.94,92.4595
81,1.05,92.1622
80,1.81,90.5
79,2,90.1346
78,3.11,88.3538
77,3.39,87.9315
76,5.19,85.6956
75,5.57,85.2826
74,7.84,82.9808
73,8.36,82.4808
72,11.52,79.6667
71,12.15,79.1282
70,15.93,76.032
69,16.57,75.5455
68,20.81,72.3577
67,21.56,71.8
66,26.22,68.4375
65,27.12,67.8085
64,32.13,64.2055
63,32.99,63.6028
62,38.23,59.9392
61,39.02,59.4054
60,44.41,55.7123
59,45.24,55.1438
58,50.49,51.4345
57,51.33,50.8467
56,56.48,47.2138
55,57.2,46.7303
54,62.17,43.3151
53,62.86,42.8333
52,67.58,39.3407
51,68.19,38.8889
50,72.35,35.8168
49,72.94,35.3664
48,76.51,32.6462
47,76.96,32.3
46,80.41,29.6172
45,80.83,29.2891
44,83.91,26.856
43,84.23,26.6
42,86.85,24.4924
41,87.1,24.303
40,89.32,22.5156
39,89.51,22.3672
38,91.44,20.8462
37,91.57,20.735
36,93.23,19.3333
35,93.37,19.2167
34,94.75,17.9818
33,94.85,17.8909
32,95.96,16.8646
31,96.02,16.8021
30,96.99,15.7468
29,97.03,15.6962
28,97.79,14.7
27,97.8,14.6857
26,98.5,13.5769
25,98.53,13.5192
24,99.04,12.4
23,99.05,12.375
22,99.39,11.3667
21,99.4,11.3333
20,99.65,10.1667
19,99.65,10.1667
18,99.8,9.14283
17,99.81,9.07144
16,99.93,7.5
15,99.93,7.5
14,99.97,6.5
13,99.97,6.5
12,99.99,5
11,99.99,5
10,100,2
9,100,2
8,100,2
7,100,2
6,100,2
5,100,2
4,100,2
3,100,2
2,100,2
1,100,2
0,100,2
history,cume,0
100,0,100
99,0,100
98,0,100
97,0,100
96,0.01,99
95,0.03,98
94,0.06,97.4
93,0.13,96.2857
92,0.2,95.5833
91,0.3,94.8421
90,0.47,93.9643
89,0.76,92.9459
88,1.06,92.1351
87,1.5,91.1136
86,2.09,89.9677
85,2.71,88.9692
84,3.47,87.8219
83,4.32,86.7024
82,5.33,85.5435
81,6.42,84.3516
80,7.66,83.1481
79,9.02,81.8532
78,10.5,80.5339
77,12.09,79.1795
76,13.84,77.6875
75,15.66,76.248
74,17.62,74.7519
73,19.65,73.2137
72,21.73,71.6692
71,23.77,70.1583
70,26.03,68.5694
69,28.18,67.0567
68,30.51,65.3407
67,32.87,63.6879
66,35.29,62
65,37.74,60.2685
64,40.15,58.6241
63,42.52,56.9866
62,44.88,55.3904
61,47.3,53.6276
60,49.65,52.0137
59,52.01,50.3504
58,54.52,48.5734
57,56.8,46.9934
56,59.11,45.4595
55,61.24,43.9521
54,63.35,42.4783
53,65.52,40.8931
52,67.62,39.3111
51,69.63,37.8222
50,71.67,36.3212
49,73.58,34.8779
48,75.38,33.5076
47,77.01,32.2615
46,78.77,30.8846
45,80.24,29.75
44,81.64,28.6562
43,83.06,27.536
42,84.44,26.432
41,85.6,25.4833
40,86.82,24.5152
39,88.04,23.55
38,89.07,22.7109
37,90.13,21.8828
36,91.07,21.1484
35,91.89,20.4615
34,92.69,19.7833
33,93.43,19.1667
32,94.22,18.4636
31,94.83,17.9091
30,95.53,17.2727
29,96.08,16.7396
28,96.71,16.0833
27,97.06,15.6582
26,97.62,14.9429
25,97.89,14.5571
24,98.34,13.8846
23,98.6,13.3846
22,99,12.5
21,99.19,12.025
20,99.42,11.2667
19,99.51,10.9444
18,99.66,10.1111
17,99.72,9.71428
16,99.85,8.62502
15,99.87,8.37498
14,99.93,7.5
13,99.94,7.33329
12,99.97,6.5
11,99.97,6.5
10,99.98,6
9,99.98,6
8,99.99,5
7,99.99,5
6,99.99,5
5,99.99,5
4,99.99,5
3,99.99,5
2,100,2
1,100,2
0,100,2
matha,cume,0
100,0.91,92.5405
99,0.91,92.5405
98,1.22,91.75
97,1.25,91.6818
96,2.49,89.3226
95,2.5,89.3064
94,3.3,88.0615
93,3.52,87.7534
92,4.73,86.2143
91,4.84,86.0833
90,5.95,84.8681
89,6.44,84.3297
88,7.64,83.1667
87,8,82.8269
86,9.11,81.7706
85,9.82,81.1193
84,10.87,80.2203
83,11.62,79.5812
82,12.77,78.5877
81,13.73,77.7734
80,14.63,77.0703
79,15.79,76.144
78,16.93,75.2727
77,18.08,74.406
76,19.2,73.5573
75,20.37,72.6788
74,21.42,71.9077
73,22.59,71.0077
72,23.69,70.2158
71,25.03,69.2676
70,26.14,68.4931
69,27.43,67.5887
68,28.66,66.7059
67,30,65.7185
66,31.19,64.8493
65,32.37,64.0411
64,33.66,63.1277
63,34.91,62.2621
62,36.27,61.2794
61,37.57,60.3825
60,38.91,59.4797
59,40.18,58.6028
58,41.6,57.6122
57,42.86,56.7584
56,44.24,55.8288
55,45.49,54.9695
54,46.86,53.931
53,48.18,53.0207
52,49.48,52.1301
51,50.96,51.1103
50,52.31,50.1314
49,53.63,49.1972
48,54.96,48.2657
47,56.41,47.2621
46,57.56,46.4934
45,58.94,45.5743
44,60.31,44.6232
43,61.71,43.6301
42,63.05,42.6957
41,64.35,41.7518
40,65.58,40.8473
39,66.87,39.8667
38,68.13,38.9333
37,69.26,38.0963
36,70.48,37.1926
35,71.68,36.3139
34,73.01,35.313
33,74.13,34.458
32,75.39,33.5
31,76.38,32.7462
30,77.77,31.6693
29,78.72,30.9231
28,79.95,29.9766
27,80.78,29.3281
26,82.28,28.1563
25,83.03,27.56
24,84.53,26.36
23,85.22,25.8
22,86.68,24.6212
21,87.26,24.1818
20,88.76,22.9531
19,89.27,22.5547
18,90.67,21.4609
17,91.15,21.0859
16,92.69,19.7833
15,92.86,19.6417
14,94.14,18.5364
13,94.46,18.2455
12,95.57,17.2364
11,95.76,17.0636
10,97.19,15.4937
9,97.2,15.481
8,97.76,14.7429
7,97.87,14.5857
6,98.86,12.85
5,98.86,12.85
4,99.53,10.8333
3,99.53,10.8333
2,99.57,10.6111
1,99.57,10.6111
0,100,2
mathb,cume,0
100,1.58,90.9423
99,1.68,90.75
98,2.76,88.8923
97,2.82,88.8
96,3.88,87.2603
95,4.31,86.7143
94,5.21,85.6739
93,5.54,85.3152
92,6.94,83.8148
91,7.43,83.3611
90,8.91,81.9541
89,9.39,81.5138
88,10.73,80.339
87,11.42,79.7521
86,12.77,78.5877
85,13.58,77.8906
84,14.9,76.856
83,15.72,76.2
82,17.2,75.0682
81,18.14,74.3609
80,19.47,73.3511
79,20.46,72.6131
78,21.78,71.6308
77,22.88,70.7986
76,24.18,69.8662
75,25.32,69.0634
74,26.56,68.2014
73,27.76,67.3546
72,29.09,66.3897
71,30.34,65.4667
